[28.437s][info][gc           ] GC(15) Pause Initial Mark (G1 Evacuation Pause) 40M->40M(40M) 5.591ms
[28.437s][info][gc,cpu       ] GC(15) User=0.00s Sys=0.00s Real=0.01s
[28.437s][info][gc           ] GC(16) Concurrent Cycle
[28.438s][info][gc,marking   ] GC(16) Concurrent Clear Claimed Marks
[28.438s][info][gc,marking   ] GC(16) Concurrent Clear Claimed Marks 0.046ms
[28.438s][info][gc,marking   ] GC(16) Concurrent Scan Root Regions
[28.438s][info][gc,marking   ] GC(16) Concurrent Scan Root Regions 0.033ms
[28.438s][info][gc,marking   ] GC(16) Concurrent Mark (28.438s)
[28.438s][info][gc,start     ] GC(17) Pause Young (G1 Evacuation Pause)
[28.438s][info][gc,marking   ] GC(16) Concurrent Mark From Roots
[28.438s][info][gc,task      ] GC(17) Using 4 workers of 4 for evacuation
[28.438s][info][gc,task      ] GC(16) Using 1 workers of 1 for marking
[28.440s][info][gc,phases    ] GC(17)   Pre Evacuate Collection Set: 0.0ms
[28.440s][info][gc,phases    ] GC(17)   Evacuate Collection Set: 1.4ms
[28.440s][info][gc,phases    ] GC(17)   Post Evacuate Collection Set: 0.1ms
[28.440s][info][gc,phases    ] GC(17)   Other: 0.4ms
[28.440s][info][gc,heap      ] GC(17) Eden regions: 0->0(20)
[28.440s][info][gc,heap      ] GC(17) Survivor regions: 0->0(3)
[28.440s][info][gc,heap      ] GC(17) Old regions: 40->40
[28.440s][info][gc,heap      ] GC(17) Humongous regions: 0->0
[28.440s][info][gc,metaspace ] GC(17) Metaspace: 5033K->5033K(1056768K)
[28.440s][info][gc           ] GC(17) Pause Young (G1 Evacuation Pause) 40M->40M(40M) 2.206ms
[28.440s][info][gc,cpu       ] GC(17) User=0.00s Sys=0.00s Real=0.00s
[28.445s][info][gc,start     ] GC(18) Pause Full (Allocation Failure)
[28.448s][info][gc,phases,start] GC(18) Phase 1: Mark live objects
[28.458s][info][gc,stringtable ] GC(18) Cleaned string and symbol table, strings: 2868 processed, 2 removed, symbols: 18380 processed, 2 removed
[28.458s][info][gc,phases      ] GC(18) Phase 1: Mark live objects 10.668ms
[28.458s][info][gc,phases,start] GC(18) Phase 2: Prepare for compaction
[28.459s][info][gc,phases      ] GC(18) Phase 2: Prepare for compaction 1.137ms
[28.460s][info][gc,phases,start] GC(18) Phase 3: Adjust pointers and remembered sets
[28.464s][info][gc,phases      ] GC(18) Phase 3: Adjust pointers and remembered sets 4.198ms
[28.464s][info][gc,phases,start] GC(18) Phase 4: Compact heap
[28.465s][info][gc,phases      ] GC(18) Phase 4: Compact heap 1.415ms
[28.467s][info][gc,heap        ] GC(18) Eden regions: 0->0(20)
[28.467s][info][gc,heap        ] GC(18) Survivor regions: 0->0(3)
[28.467s][info][gc,heap        ] GC(18) Old regions: 40->2
[28.467s][info][gc,heap        ] GC(18) Humongous regions: 0->0
[28.467s][info][gc,metaspace   ] GC(18) Metaspace: 5033K->4969K(1056768K)
[28.467s][info][gc             ] GC(18) Pause Full (Allocation Failure) 40M->1M(40M) 22.012ms
[28.467s][info][gc,cpu         ] GC(18) User=0.05s Sys=0.00s Real=0.02s
[28.468s][info][gc,marking     ] GC(16) Concurrent Mark From Roots 29.795ms
[28.468s][info][gc,marking     ] GC(16) Concurrent Mark Abort
[28.468s][info][gc             ] GC(16) Concurrent Cycle 30.216ms
[41.659s][info][gc,start       ] GC(19) Pause Young (G1 Evacuation Pause)
[41.659s][info][gc,task        ] GC(19) Using 4 workers of 4 for evacuation
[41.666s][info][gc,phases      ] GC(19)   Pre Evacuate Collection Set: 0.0ms
[41.666s][info][gc,phases      ] GC(19)   Evacuate Collection Set: 6.7ms
[41.666s][info][gc,phases      ] GC(19)   Post Evacuate Collection Set: 0.2ms
[41.666s][info][gc,phases      ] GC(19)   Other: 0.6ms
[41.666s][info][gc,heap        ] GC(19) Eden regions: 20->0(17)
[41.666s][info][gc,heap        ] GC(19) Survivor regions: 0->3(3)
[41.666s][info][gc,heap        ] GC(19) Old regions: 2->7
[41.666s][info][gc,heap        ] GC(19) Humongous regions: 0->0
[41.666s][info][gc,metaspace   ] GC(19) Metaspace: 4969K->4969K(1056768K)
[41.667s][info][gc             ] GC(19) Pause Young (G1 Evacuation Pause) 21M->9M(40M) 7.952ms
[41.667s][info][gc,cpu         ] GC(19) User=0.03s Sys=0.00s Real=0.01s
[48.193s][info][gc,start       ] GC(20) Pause Young (G1 Evacuation Pause)
[48.193s][info][gc,task        ] GC(20) Using 4 workers of 4 for evacuation
[48.200s][info][gc,phases      ] GC(20)   Pre Evacuate Collection Set: 0.0ms
[48.201s][info][gc,phases      ] GC(20)   Evacuate Collection Set: 6.7ms
[48.201s][info][gc,phases      ] GC(20)   Post Evacuate Collection Set: 0.1ms
[48.201s][info][gc,phases      ] GC(20)   Other: 0.6ms
[48.201s][info][gc,heap        ] GC(20) Eden regions: 17->0(17)
[48.201s][info][gc,heap        ] GC(20) Survivor regions: 3->3(3)
[48.201s][info][gc,heap        ] GC(20) Old regions: 7->13
[48.201s][info][gc,heap        ] GC(20) Humongous regions: 0->0
[48.201s][info][gc,metaspace   ] GC(20) Metaspace: 4969K->4969K(1056768K)
[48.201s][info][gc             ] GC(20) Pause Young (G1 Evacuation Pause) 26M->14M(40M) 7.718ms
[48.201s][info][gc,cpu         ] GC(20) User=0.03s Sys=0.00s Real=0.01s
[60.434s][info][gc,start       ] GC(21) Pause Young (G1 Evacuation Pause)
[60.434s][info][gc,task        ] GC(21) Using 4 workers of 4 for evacuation
[60.439s][info][gc,phases      ] GC(21)   Pre Evacuate Collection Set: 0.0ms
[60.439s][info][gc,phases      ] GC(21)   Evacuate Collection Set: 5.1ms
[60.439s][info][gc,phases      ] GC(21)   Post Evacuate Collection Set: 0.2ms
[60.439s][info][gc,phases      ] GC(21)   Other: 0.4ms
[60.439s][info][gc,heap        ] GC(21) Eden regions: 17->0(17)
[60.439s][info][gc,heap        ] GC(21) Survivor regions: 3->3(3)
[60.439s][info][gc,heap        ] GC(21) Old regions: 13->15
[60.439s][info][gc,heap        ] GC(21) Humongous regions: 0->0
[60.439s][info][gc,metaspace   ] GC(21) Metaspace: 4969K->4969K(1056768K)
[60.440s][info][gc             ] GC(21) Pause Young (G1 Evacuation Pause) 31M->16M(40M) 6.037ms
[60.440s][info][gc,cpu         ] GC(21) User=0.00s Sys=0.00s Real=0.01s
[64.588s][info][gc,start       ] GC(22) Pause Young (G1 Evacuation Pause)
[64.589s][info][gc,task        ] GC(22) Using 4 workers of 4 for evacuation
[64.592s][info][gc,phases      ] GC(22)   Pre Evacuate Collection Set: 0.0ms
[64.592s][info][gc,phases      ] GC(22)   Evacuate Collection Set: 2.8ms
[64.592s][info][gc,phases      ] GC(22)   Post Evacuate Collection Set: 0.2ms
[64.592s][info][gc,phases      ] GC(22)   Other: 0.4ms
[64.592s][info][gc,heap        ] GC(22) Eden regions: 17->0(19)
[64.592s][info][gc,heap        ] GC(22) Survivor regions: 3->1(3)
[64.592s][info][gc,heap        ] GC(22) Old regions: 15->18
[64.592s][info][gc,heap        ] GC(22) Humongous regions: 0->0
